表示/非表示,日付け,新着情報,リンクURL,別ウインドウで開く
1,2016/4/21,ゴールデンウィーク期間中のお振込みについて,http://192.168.1.200/pdf/GWのお知らせ（HP用）_160421.pdf,
1,2016/2/1,差引精算金額の端数処理計算方法変更のお知らせ,http://192.168.1.200/pdf/【MS】差引精算金額の端数処理計算方法変更のお知らせ（HP用）_160201.pdf,
1,2015/12/17,年末年始の営業とお振込みについて（MSカークレジットご加盟店様）,http://192.168.1.200/pdf/【MSCC】年末年始のお知らせ（HP用）_151214.pdf,
1,2015/12/17,年末年始の営業とお振込みについて（マーチャント・サポートご加盟店様）,http://192.168.1.200/pdf/【MS】年末年始のお知らせ（HP用）_151214.pdf,
1,2015/11/20,本社移転のご案内,http://192.168.1.200/pdf/本社移転のご案内_151120.pdf,
1,2015/4/24,ゴールデンウィーク期間中のお振込みについて,http://192.168.1.200/pdf/GWのお知らせ（HP用）_150424.pdf,
0,2014/12/5,年末年始の営業とお振込みについて（MSカークレジットご加盟店様）,http://192.168.1.200/pdf/MSCC_Letter_141205.pdf,
0,2014/12/5,年末年始の営業とお振込みについて（マーチャント・サポートご加盟店様）,http://192.168.1.200/pdf/MS_Letter_141205.pdf,
1,2014/4/10,ゴールデンウィーク期間中のお振込みについて,http://192.168.1.200/pdf/MS_Letter_140410.pdf,
1,2013/12/1,年末年始の営業とお振込みについて（MSカークレジットご加盟店様）,http://192.168.1.200/pdf/MSCC_Letter_131201.pdf,
1,2013/12/1,年末年始の営業とお振込みについて（マーチャント・サポートご加盟店様）,http://192.168.1.200/pdf/MS_Letter_131201.pdf,
1,2013/10/1,「2回払い」の早期決済サービス開始についてのご案内,http://192.168.1.200/pdf/MS_Letter_131001.pdf,
1,2013/4/23,ゴールデンウィーク期間中のお振込みについて,http://192.168.1.200/pdf/MS_Letter_130423.pdf,
1,2013/4/1,代表者変更のお知らせ,http://192.168.1.200/pdf/MS_Letter_130401.pdf,
1,2013/1/1,子会社「ITCクレジット株式会社」社名変更に関するお知らせ,http://192.168.1.200/pdf/MS_Letter_130104.pdf,
1,2012/12/1,年内は2012年12月28日（金）まで営業しております。年始は2013年1月4日（金）より通常通り営業いたします。なお、サービスメニューによっては通常の入金日と異なりますので、ご不明な場合は弊社までお問い合わせください。,,0
1,2012/3/2,ITCクレジット株式会社の株式取得（100％子会社化）に関するお知らせ,http://192.168.1.200/pdf/MS_Letter_120302.pdf,
1,2011/12/1,年内は2011年12月30日（金）まで営業しております。年始は2012年1月4日（水）より通常通り営業いたします。,,0
1,2011/5/16,株主変更および移転のお知らせ,http://192.168.1.200/pdf/MS_Letter_110511.pdf,
1,2010/12/8,2010年12月31日（金）より2011年1月3日（月）まで、年末年始休暇とさせていただきます。年始は2011年1月4日（火）より通常通り営業いたします。,,0
1,2010/12/3,送金元法人変更のお知らせ,http://192.168.1.200/pdf/MS_Letter_101203.pdf,0
1,2010/4/1,2010年4月1日より、お電話でのお問い合わせ受付時間が9：00～17：00に変更となりました。時間外のお問い合わせはホームページよりお願い申し上げます。,,
1,2010/3/30,"既存加盟店様向けのお問合せページがオープンしました。
店舗情報変更などはこちらからご連絡ください。",https://192.168.1.200/contact_participating/index.php,0
1,2009/12/25,ITCクレジット株式会社のホームページを公開しました。,http://itcc.itcars.co.jp/,0
